Year,Decade,Song Title,Artist,Soloist,Saxophone Type
1955,1950s,The Great Pretender,The Platters,Plas Johnson,Tenor
1955,1950s,Mambo Rock,Bill Haley and his Comets,Joey D'Ambrosia,Tenor
1955,1950s,"Ling, Ting, Tong",The Five Keys,Unknown,Tenor
1955,1950s,(We're Gonna) Rock Around the Clock,Bill Haley and His Comets,Joey D'Ambrosia,Tenor
1955,1950s,All By Myself,Fats Domino,Herb Hardesty,Tenor
1955,1950s,Ain't That a Shame,Pat Boone,Unknown,Tenor
1955,1950s,Ain't That a Shame,Fats Domino,Wendell Duconge,Alto
1955,1950s,At My Front Door,Pat Boone,Unknown,Tenor
1955,1950s,At My Front Door,El Dorados,Red Holloway,Tenor
1955,1950s,Blue Velvet,The Clovers,Sam “The Man” Taylor,Tenor
1955,1950s,Birth of the Boogie,Bill Haley and his Comets,Joey D'Ambrosia,Tenor
1955,1950s,Burn that Candle,Bill Haley and his Comets,Rudy Pompilli,Tenor
1955,1950s,Cherry Pink And Apple Blossom White,Perez Prado Orchestra,Unknown,Sax Section
1955,1950s,Daddy-O,The Fontane Sisters,Unknown,Tenor
1955,1950s,Don't Be Angry,Nappy Brown,Budd Johnson Or Sam Taylor,Tenor
1955,1950s,"Dim, Dim the Lights",Bill Haley and his Comets,Joey D'Ambrosia,Tenor
1955,1950s,Everyday I Have The Blues,COUNT BASIE with vocal by,"Joe Williams. Saxophone Section; F. Wess, C. Fowlkes, W. Graham, F. Foster, M. Royal",Sax Section
1955,1950s,Flip Flop And Fly,Big Joe Turner,Al Sears,Tenor
1955,1950s,Gee Whittakers,The Five Keys,Unknown,Tenor
1955,1950s,Gee Whittakers,Pat Boone,Unknown,Tenor
1955,1950s,Good Rockin' Daddy,Etta James,Unknown,Alto
1955,1950s,Hands Off,Jay McShann's Orchestra & Priscilla Bowman,Unknown,Tenor
1955,1950s,Hard To Get,Gisele Mackenzie,Unknown,Alto
1955,1950s,Hearts Of Stone,The Charms,Unknown,Tenor
1955,1950s,Hearts Of Stone,The Fontane Sisters,Unknown,Tenor
